class_name,label,parent,existing_comment,din_clause,comment
Lining,Lining,StructuralDefect,,"Table 4, BAK; Table 10, DAK","A defect observed in a pipe or chamber lining (detachment, discolouration, wrinkling, blistering, cracking, holes and similar). Used for BAK (pipe) and DAK (manhole/chamber), with char1 giving the specific lining fault as its subclasses."
LiningConnectionDefect,Lining Connection Defect,Lining,,"Table 4, BAK char1 (K); Table 10, DAK char1 (K)",There is a defect where the lining meets a connection rather than in the lining's main run. Used for BAK char1 (K) and DAK char1 (K).
LocalisedDeformation,Localised Deformation,Deformation,,,
LocalisedLiningOfConnectionRepair,Localised Lining Of Connection Repair,PointRepair,,"Table 6, BCB char1 (F); Table 12, DCB char (E)","A short localised lining (e.g. a 'top hat') was applied to repair a connection rather than the main wall. Used for DCB char (E); the pipe-side equivalent (BCB char1 F) has no someValuesFrom wiring, so only node individuals currently materialize into this class."
LocalisedLiningOfManholeOrInspectionChamberRepair,Localised Lining Of Manhole Or Inspection Chamber Repair,PointRepair,,"Table 12, DCB char (B)","A short section of lining was applied inside the manhole or inspection chamber as the repair method. Used for DCB char (B); its pipe-side equivalent is LocalisedLiningOfPipeRepair (BCB char1 B), which has no someValuesFrom wiring."
LocalisedLiningOfPipeRepair,Localised Lining Of Pipe Repair,PointRepair,,"Table 6, BCB char1 (B)","A short section of pipe lining was applied as the repair method; DIN notes this combination should also be coded with BAK (Lining). Corresponds to BCB char1 (B); has no someValuesFrom wiring to hasPipeInventoryFeature, so it is not currently reachable through materialization."
LocallyDefinedConnectingPipeline,Locally Defined Connecting Pipeline,ConnectingPipeline,,,
LocallyDefinedCrossSection,Locally Defined Cross Section,CrossSection,,,
Location,Location,Observation,"Made for BBH/DBH Vermin: Describes the location of the vermin.

The location of the vermin: 
 in the pipeline (A);
 in a connection (B);
 in an open joint (C);
 !other (Z) – where this is used further details shall be recorded in the remarks section.""

Has potential to be used to also describe other damage codes with more detail.",,
Longitudinal,Longitudinal,Orientation,,,
LooseFrame,Loose Frame,DefectiveCoverOrFrame,,,
LooseLadderSupport,Loose Ladder Support,DefectiveStepOrLadder,,,
LooseStep,Loose Step,DefectiveStepOrLadder,,,
LossOfVision,Loss Of Vision,OtherObservation,Reasons for loss of vision captured in subclass 'Cause',,
LowPointChannel,Low Point Channel,Channel,,"Table 12, DCI char2 (D)",The channel has a low point (a local dip below the surrounding invert). Used for DCI char2 (D).
MajorConnectionWithoutManholeOrInspectionChamber,Major Connection Without Manhole Or Inspection Chamber,NodeType,,"Table 6, BCD/BCE (F)",The node is simply a significant connection point (e.g. a large junction) without any manhole or inspection chamber structure built around it. Used for BCD (F) and BCE (F).
Manhole,Manhole,NodeType,,,
Mechanical,Mechanical,Cause,,"Table 4, BAF char2 (A); Table 10, DAF char2 (A)","One of the listed causes of surface damage, denoting physical/mechanical action rather than chemical attack. Used for BAF char2 (A) and DAF char2 (A), the cause dimension of the Surface Damage code."
Methane,Methane,AtmosphereWithin,,"Table 7, BDF char (C); Table 13, DDF char (C)",Methane gas was detected in the atmosphere. Used for BDF char (C) and DDF char (C).
MissingAggregate,Missing Aggregate,Surface,,,
MissingBrickworkOrMasonry,Missing Brickwork Or Masonry,DefectiveBrickworkOrMasonry,,"Table 4, BAD char1 (B); Table 10, DAD char1 (B), DAE","Bricks or masonry units are missing from the pipe or chamber wall. Used for BAD char1 (B) and DAD char1 (B); SDCO also maps the separate node-only DAE (Missing mortar) code onto this class rather than a distinct node-side MissingMortar class, so this class conflates two different DIN observations for manhole individuals."
MissingCover,Missing Cover,DefectiveCoverOrFrame,,,
MissingFrame,Missing Frame,DefectiveCoverOrFrame,,,
MissingGritTrap,Missing Grit Trap,GritTrapUnderCover,,,
MissingLadderSupport,Missing Ladder Support,DefectiveStepOrLadder,,,
MissingMortar,Missing Mortar,StructuralDefect,,"Table 4, BAE","All or part of the mortar bedding a brick or masonry pipe wall is missing. Used only for BAE (pipe); SDCO maps DAE, the mirroring node-side missing-mortar code, onto MissingBrickworkOrMasonry instead of this class, so MissingMortar never classifies node individuals."
MissingRepairMaterial,Missing Repair Material,DefectiveRepair,,,
MissingSafetyBar,Missing Safety Bar,SafetyChainBar,,,
MissingSafetyChain,Missing Safety Chain,SafetyChainBar,,,
MissingStep,Missing Step,DefectiveStepOrLadder,,,
MissingWallBreakOrCollapse,Missing Wall Break Or Collapse,BreakOrCollapse,missing pieces of wall,,
MissingWallDefectiveRepair,Missing Wall Defective Repair,DefectiveRepair,,,
MissingWallSurface,Missing Wall Surface,Surface,,,
NarrowsChannel,Narrows Channel,Channel,,"Table 12, DCI char2 (A)",The channel narrows in the direction of flow. Used for DCI char2 (A).
NoAccessToPipe,No Access To Pipe,OtherPipelineThroughManhole,,,
NoBenching,No Benching,Benching,,"Table 12, DCH char (C)",Records that the manhole or inspection chamber has no benching. Used for DCH char (C).
NoChannel,No Channel,Channel,,"Table 12, DCI char1 (C)",Records that the manhole or inspection chamber has no channel. Used for DCI char1 (C).
NoDefectsSafetyBar,No Defects Safety Bar,SafetyChainBar,,,
NoDefectsSafetyChain,No Defects Safety Chain,SafetyChainBar,,,
NodeConnection,Node Connection,Connection,,"Table 12, DCA char1","The node-side connection-type characterization: how a pipeline enters the manhole or inspection chamber (in the benching, free drop, backdrop, internal drop pipe, ramp, ventilation). Used for DCA char1, with the specific arrangement types as subclasses."
NodeType,Node Type,Inventory,,"Table 6, BCD/BCE","The type of node; manhole, inspection chamber, rodding eye, lamp hole, outfall, major connection without a chamber, or an employing-authority-defined type; at the start or finish of the pipeline inspection. Used for BCD (start node) and BCE (finish node), which share the same characterization values as this class's subclasses."
NotEvident,Not Evident,Cause,,"Table 4, BAF char2 (E); Table 10, DAF char2 (E)",Records that surface damage was observed but its cause could not be determined. Used for BAF char2 (E) and DAF char2 (E).
NothingVisible,Nothing Visible,MissingBrickworkOrMasonry,,"Table 4, BAD char2 (B); Table 10, DAD char2 (B)","Where brickwork or masonry is missing, it is not possible to determine what is exposed through the hole. Used for BAD char2 (B) and DAD char2 (B)."
Observation,Observation,,,8.1.1/11.1.1,"DIN EN 13508-2 requires every recorded feature to be tagged with one of its defined main codes, optionally refined by characterization, quantification and location information. SDCO's Observation class is the root of the damage-code taxonomy, spanning both pipe (B-codes) and node (D-codes) observations across its six subtrees (Cause, Defect, Inventory, Location, Orientation, OtherObservation)."
Obstacle,Obstacle,OperationalDefect,,"Table 11, DBE","An object in the manhole or inspection chamber obstructing its cross-section, used only when none of the other operational codes (roots, deposits, soil) apply. Used for DBE; SDCO maps the pipe-side equivalent (BBE) onto OtherObstacle instead of this class, so Obstacle itself only ever classifies node individuals."
Obstruction,Obstruction,Cause,,"Table 7, BDC char1 (A); Table 13, DDC char1 (B)","One of the listed reasons an inspection was terminated early, denoting a physical obstruction blocking the camera or equipment. Used for BDC char1 (A) and DDC char1 (B)."
OpenConnection,Open Connection,PipeConnection,,"Table 4, BCA char2 (A)",Records that the connection is open and in use. Used for BCA char2 (A).
OperationalDefect,Operational Defect,Defect,,8.3 heading; 11.3 heading,"Groups the standard's operation-condition codes (BB.. for pipes, DB.. for nodes); roots, deposits, obstacles, infiltration, exfiltration, vermin; describing how debris, water or organisms affect the running of the pipe or chamber rather than its fabric. SDCO uses OperationalDefect as the parent of these classes, referenced via hasPipeOperationDamage/hasNodeOperationDamage."
Orientation,Orientation,Observation,,8.1.5/Table 3; various characterization-2 fields,"The standard records the clockface position of an observation and, for several defects, an orientation value (longitudinal/circumferential/vertical/horizontal/complex/helical/inclined/radial/angular) describing how the feature runs relative to the pipe or chamber axis. SDCO collects all such orientation-valued classes under this parent, referenced from hasDamageOrientation and the curvature-direction properties."
OrificePlateFlowControl,Orifice Plate Flow Control,FlowControl,,"Table 12, DCK char1 (C)",A plate with a fixed opening used to restrict or regulate flow. Used for DCK char1 (C).
OtherAtmosphereWithin,Other Atmosphere Within,AtmosphereWithin,,,
OtherAttachedDeposit,Other Attached Deposit,AttachedDeposits,,,
OtherBenching,Other Benching,Benching,,,
OtherCause,Other Cause,Cause,General catch all for any other cause / obstructions described in several damage codes.,,
OtherConnectingPipeline,Other Connecting Pipeline,ConnectingPipeline,,,
OtherConnection,Other Connection,Connection,,,
OtherConnectionRepair,Other Connection Repair,PointRepair,,"Table 6, BCB char1 (G); Table 12, DCB char (F)","Some other repair method (not localised lining) was applied to a connection. Used for DCB char (F); the pipe-side equivalent (BCB char1 G) has no someValuesFrom wiring, so only node individuals currently materialize into this class."
OtherCrossSection,Other Cross Section,CrossSection,,,
OtherDefectiveConnection,Other Defective Connection,DefectiveConnection,,,
OtherDefectiveCoverOrFrame,Other Defective Cover Or Frame,DefectiveCoverOrFrame,,,
OtherDefectiveRepair,Other Defective Repair,DefectiveRepair,,,
OtherDefectiveStepOrLadder,Other Defective Step Or Ladder,DefectiveStepOrLadder,,,
OtherFlowControl,Other Flow Control,FlowControl,,,
OtherInjectedSealingMaterialRepair,Other Injected Sealing Material Repair,PointRepair,,,
OtherLiningDefect,Other Lining Defect,Lining,,,
OtherLocation,Other Location,Location,,,
OtherObservation,Other Observation,Observation,Describes the codes categorized as 'Other' in DIN EN 13508-2.,,
OtherObstacle,Other Obstacle,Obstacle,,"Table 5, BBE; Table 11, DBE char (Z)","Covers the pipe-side obstacle code (BBE) generically, plus the catch-all 'other' obstacle type on both sides. Used for BBE, BBE char (Z) and DBE char (Z); this conflates the plain pipe main-code with the DIN 'other' characterization value, unlike the node side, where Obstacle is the main-code parent."
OtherPipelineThroughManhole,Other Pipeline Through Manhole,Inventory,"To describe DCL.

DCL !There is another wastewater pipeline through the manhole or inspection  chamber.  The connections to the manhole or inspection chamber joined to each end of the pipeline should be coded using DCA and DCG."" Characterisation 1 There is:  no access to the pipe (A); access is provided – cover in place (B);  !access is provided – cover missing (C).""  Characterisation 2 !The pipeline is:""  defective (A); not defective (B).",,
OtherPointRepair,Other Point Repair,PointRepair,,"Table 12, DCB char (Z)","Some other repair method was used, with further detail in the remarks. Used for DCB char (Z); the pipe-side equivalent (BCB char1 Z, OtherTrenchlessRepair) has no someValuesFrom wiring."
OtherSettledDeposit,Other Settled Deposit,SettledDeposit,,,
OtherSpecialChamber,Other Special Chamber,NodeType,,,
OtherSurfaceDamage,Other Surface Damage,Surface,,,
OtherTrenchlessRepair,Other Trenchless Repair,PointRepair,,"Table 6, BCB char1 (Z)","Some other trenchless repair method was used, with further detail in the remarks. Corresponds to BCB char1 (Z); has no someValuesFrom wiring to hasPipeInventoryFeature, so it is not currently reachable through materialization."
OtherVermin,Other Vermin,Vermin,,,
Outfall,Outfall,NodeType,,,
OvalConnectingPipeline,Oval Connecting Pipeline,ConnectingPipeline,,"Table 12, DCG char1 (F)","A pipe cross-section with equal-diameter circular invert and soffit, joined by parallel sides. Used for DCG char1 (F)."
OverflowControl,Overflow Control,FlowControl,,"Table 12, DCK char2 (B)",Records that the flow-control device controls an overflow rather than the continuing flow. Used for DCK char2 (B).
OxygenDeficiency,Oxygen Deficiency,AtmosphereWithin,,"Table 7, BDF char (A); Table 13, DDF char (A)",A shortage of oxygen was detected in the atmosphere. Used for BDF char (A) and DDF char (A).
PartialGapConnection,Partial Gap Connection,DefectiveConnection,,"Table 4, BAH char (C); Table 10, DAH char (C)","There is a gap around only part of the circumference of the connecting pipe's junction. Used for BAH char (C) and DAH char (C), distinguished from GapConnection by covering only part of the circumference."
PatchSealingDefectiveRepair,Patch Sealing Defective Repair,DefectiveRepair,,"Table 4, BAL char1 (B); Table 10, DAL char (B)",A patch that was used to seal a hole deliberately cut in the wall (e.g. for a connection) has itself become defective. Used for BAL char1 (B) and DAL char (B).
PiecesOfPipeObstacle,Pieces Of Pipe Obstacle,Obstacle,,,
PipeConnection,Pipe Connection,Connection,,"Table 4, BCA char1","The pipe-side connection-type characterization: how the connecting pipe was formed into the wall (prefabricated junction, drilled or chiselled saddle/plain fitting, not evident). Used for BCA char1, with the specific fitting types as subclasses."
PipeReplacedRepair,Pipe Replaced Repair,PointRepair,,"Table 6, BCB char1 (A)","A section of pipe was replaced during the repair. Corresponds to BCB char1 (A); unlike its node counterpart (DCB char A to WallPartRepair), this class currently has no someValuesFrom restriction wiring it to hasPipeInventoryFeature, so BCB (A) individuals are not classified into it by materialization."
PipeUnderBenching,Pipe Under Benching,Benching,,"Table 12, DCA char2 (D); Figure 6",The connecting pipe passes underneath the benching rather than discharging across or through it. Used for DCA char2 (D).
PointRepair,Point Repair,Inventory,,"Table 6, BCB; Table 12, DCB","A short section of the drain, sewer, manhole or inspection chamber has been repaired using a listed method (replacement, lining, injected material, hole repair). Used for BCB (pipe) and DCB (manhole/chamber), with char giving the repair method as its subclasses."
PorousPipe,Porous Pipe,StructuralDefect,,"Table 4, BAN","The pipe material is observed to be porous. Used only for BAN; DIN's mirroring node code (DAN, Porous wall) is modelled in SDCO as the separate PorousWall class rather than merged into this one."
PorousWall,Porous Wall,StructuralDefect,,"Table 10, DAN","The material forming the manhole or inspection chamber wall is observed to be porous. Used only for DAN, the node-side counterpart of BAN (Porous pipe)."
PreviousPartialInspection,Previous Partial Inspection,Cause,,"Table 7, BDC char2 (C)/(D)/(E)","Marks that the termination reason relates to a previous partial inspection of the same pipeline, and is the parent of the three specific completeness outcomes. Referenced by BDC char2 (C), (D) and (E)."
ProtrudingThroughWallObstacle,Protruding Through Wall Obstacle,Obstacle,,,
Radial,Radial,Orientation,used by BAJ Displaced Joint,,
RampChannelBenching,Ramp Channel Benching,Benching,,"Table 12, DCA char2 (C); Figure 6",The connection's channel forms a ramp down through the benching to the main channel. Used for DCA char2 (C).
RampConnection,Ramp Connection,NodeConnection,,"Table 12, DCA char1 (E)",The connecting pipe discharges via a ramp leading down to the channel. Used for DCA char1 (E).
RatVermin,Rat Vermin,Vermin,,,
RectangularConnectingPipeline,Rectangular Connecting Pipeline,ConnectingPipeline,,,
RectangularCrossSection,Rectangular Cross Section,CrossSection,,,
ReinforcementProjectingFromSurface,Reinforcement Projecting From Surface,Surface,,,
RepairMaterialSeparated,Repair Material Separated,DefectiveRepair,,"Table 4, BAL char1 (C); Table 10, DAL char (C)",The repair material has separated from the host wall it was applied to. Used for BAL char1 (C) and DAL char (C).
ResinMissingFromLaminate,Resin Missing From Laminate,Lining,,"Table 4, BAK char1 (M); Table 10, DAK char1 (M)","Resin is missing from a laminate lining, exposing the underlying fibre reinforcement. Used for BAK char1 (M) and DAK char1 (M)."
Right,Right,Orientation,,,
RockingCover,Rocking Cover,DefectiveCoverOrFrame,,,
RoddingEye,Rodding Eye,NodeType,,"Table 6, BCD/BCE (C)",A surface-level access point allowing rodding equipment to be inserted into the pipe without an inspection chamber. Used for BCD (C) and BCE (C).
Roots,Roots,OperationalDefect,,"Table 5, BBA; Table 11, DBA","Roots of trees or other plants have grown into the pipe or chamber through joints, defects or connections. Used for BBA (pipe) and DBA (manhole/chamber), with char giving the root type (tap root, fine roots, complex mass) as its subclasses."
SafetyChainBar,Safety Chain Bar,Inventory,"To describe DCJ:

DCJ This is used to record the location and condition of safety chains/bars on the  outgoing connections. Characterisation The following information:  safety chain present with no defects (A); safety chain missing (with evidence that one was provided) (B); safety chain defective (C); safety chain in position but coated with debris (D); safety bar present with no defects (E); safety bar missing (with evidence that one was provided) (F); safety bar defective (G); safety bar in position but coated with debris (H)",,
ScreensFlowControl,Screens Flow Control,FlowControl,,,
SeamCoveringSeparation,Seam Covering Separation,Lining,,"Table 4, BAK char1 (H); Table 10, DAK char1 (H)",The material covering a seam in the lining has separated. Used for BAK char1 (H) and DAK char1 (H).
SettledDeposit,Settled Deposit,OperationalDefect,,"Table 5, BBC; Table 11, DBC","Material has settled and deposited in the invert of the pipe, or in the invert/benching of a chamber. Used for BBC (pipe) and DBC (manhole/chamber), with char giving the deposit type (fine, coarse, hard/compacted) as its subclasses."
SewerCurvature,Sewer Curvature,Inventory,,"Table 6, BCC","The route of the drain or sewer deviates by a prefabricated bend rather than at a joint (a curved pipeline), explicitly excluding angular joint displacement (BAJ C). Used for BCC, with char1 (Left/Right) and char2 (Up/Down) recording horizontal and vertical curvature direction; DIN defines no equivalent code for manholes/chambers."
Silt,Silt,Cause,,"Table 7, BDG char (B); Table 13, DDG char (B)","The view is obstructed by suspended silt in the water. Used for BDG char (B) and DDG char (B)."
SiltPit,Silt Pit,Inventory,"Used to describe DCN.

Characterisation The following information:  pit not defective (A); pit defective (B).",,
SoftLiningMaterial,Soft Lining Material,Lining,,,
SoilVisibleThroughDefect,Soil Visible Through Defect,StructuralDefect,,"Table 4, BAO; Table 10, DAO",Soil from outside the pipe or chamber wall is visible through an existing defect. Used for BAO (pipe) and DAO (manhole/chamber).
Spalling,Spalling,Surface,,"Table 4, BAF char1 (B); Table 10, DAF char1 (B)","Small fragments breaking away from the surface of the pipe or chamber fabric, one of the surface-damage types. Used for BAF char1 (B) and DAF char1 (B)."
SpecialNodeType,Special Node Type,NodeType,,"Table 6, BCD/BCE (X)","A node type defined locally by the employing authority, coded with an X-prefixed value rather than one of the standard's own letters. Used for BCD (X) and BCE (X)."
StarFissure,Star Fissure,Orientation,,,
Steam,Steam,Cause,,"Table 7, BDG char (C); Table 13, DDG char (C)",The view is obstructed by steam or condensation. Used for BDG char (C) and DDG char (C).
StructuralDefect,Structural Defect,Defect,,8.2 heading; 11.2 heading,"Groups the standard's fabric-condition codes (BA.. for pipes, DA.. for nodes); deformation, fissures, breaks, defective brickwork, surface damage, linings, repairs and similar; describing damage to the physical structure of the pipe or chamber. SDCO uses StructuralDefect as the parent of these classes, referenced via hasPipeFabricDamage/hasNodeFabricDamage."
Surface,Surface,StructuralDefect,,"Table 4, BAF; Table 10, DAF","The surface of the pipe or chamber has been damaged by mechanical action or chemical attack (including metal corrosion). Used for BAF (pipe) and DAF (manhole/chamber), with subclasses for each char1 damage type and the Cause subtree giving char2."
SurfaceCrackFissure,Surface Crack Fissure,Fissure,,"Table 4, BAB char1 (A); Table 10, DAB char1 (A)","The mildest fissure type: a crack confined to the surface, not extending through the wall. Used for BAB char1 (A) and DAB char1 (A)."
SweatingInfiltration,Sweating Infiltration,Infiltration,,"Table 5, BBF char (A); Table 11, DBF char1 (A)",The mildest infiltration extent: a slow ingress of water with no visible drips. Used for BBF char (A) and DBF char1 (A).
SyphonFlowControl,Syphon Flow Control,FlowControl,,,
TapRoot,Tap Root,Roots,,,
TurbidWastewater,Turbid Wastewater,Wastewater,,"Table 7, BDD (C); BDE char1 (C); DDE char1 (C)","The wastewater is turbid (cloudy) but not additionally coloured. Used for BDD (C), BDE char1 (C) and DDE char1 (C); SDCO also maps the combined 'turbid and coloured' value (E) onto this class alongside ColouredWastewater."
UShapeConnectingPipeline,U Shape Connecting Pipeline,ConnectingPipeline,,"Table 12, DCG char1 (D)","A pipe cross-section with a circular invert and a flat top, joined by parallel sides. Used for DCG char1 (D)."
UnableToLiftCover,Unable To Lift Cover,Cause,,"Table 13, DDC char1 (A)",A node-inspection-only termination reason: the manhole or inspection chamber cover could not be removed. Used only for DDC char1 (A); pipe inspections have no equivalent BDC value since they involve no cover to lift.
UnknownWastewater,Unknown Wastewater,Wastewater,,"Table 7, BDE char1 (YY)","Records that the incoming pipe's wastewater could not be observed because the water level in the main pipe was too high, using the standard's YY 'not observable' code. Used only for BDE char1 (YY); DIN gives no equivalent YY provision for DDE."
Up,Up,Orientation,,,
VentilationPipeConnection,Ventilation Pipe Connection,NodeConnection,,"Table 12, DCA char1 (F)",The connection is a ventilation pipe rather than a wastewater-carrying connection. Used for DCA char1 (F).
VenturiFlowControl,Venturi Flow Control,FlowControl,,"Table 12, DCK char1 (G)",A measuring flume (e.g. a venturi) used to gauge flow rather than to physically control it. Used for DCK char1 (G).
Vermin,Vermin,OperationalDefect,,"Table 5, BBH; Table 11, DBH","Vermin (rats, cockroaches or other animals) actually observed in or around the pipe or chamber. Used for BBH (pipe) and DBH (manhole/chamber), with char1 giving the animal type and char2 the location."
Vertical,Vertical,Orientation,,,
VisibleAggregate,Visible Aggregate,Surface,,,
VisibleReinforcement,Visible Reinforcement,Surface,,,
VoidVisibleThroughDefect,Void Visible Through Defect,StructuralDefect,,"Table 4, BAP; Table 10, DAP",A void in the ground outside the pipe or chamber wall is visible through an existing defect. Used for BAP (pipe) and DAP (manhole/chamber).
VortexFlowControl,Vortex Flow Control,FlowControl,,"Table 12, DCK char1 (D)","A vortex-type flow control device, which limits flow rate using a swirling flow pattern rather than a moving mechanical part. Used for DCK char1 (D)."
WallInfiltration,Wall Infiltration,Infiltration,Infiltration through the wall of the manhole or inspection chamber,,
WallPartRepair,Wall Part Repair,PointRepair,,"Table 12, DCB char (A)","Part of the manhole or inspection chamber wall was replaced during the repair. Used for DCB char (A); the pipe-side code (BCB char1 A, 'pipe replaced') is instead mapped to the separate PipeReplacedRepair class, which has no someValuesFrom wiring to hasPipeInventoryFeature, so BCB (A) individuals are not currently materialized into a specific repair-type class."
Wastewater,Wastewater,OtherObservation,,"Table 7, BDD/BDE char1; Table 13, DDE char1","The visual appearance of the wastewater in the pipe or chamber (clear, discontinued code, turbid, coloured, or turbid-and-coloured), shared by the water-level and incoming-flow codes. Used for BDD, BDE char1 and DDE char1, with the specific appearance values as its subclasses."
WaterLevel,Water Level,OtherObservation,,"Table 7, BDD; Table 13, DDD","The level of wastewater above the invert of the pipe or chamber. Used for BDD (pipe, char gives the wastewater's appearance from the Wastewater subtree) and DDD (manhole/chamber, recorded only via the vertical location, with no characterization)."
WedgedInJointObstacle,Wedged In Joint Obstacle,Obstacle,,,
WeirFlowControl,Weir Flow Control,FlowControl,,,
WeldFailure,Weld Failure,StructuralDefect,,"Table 4, BAM; Table 10, DAM","A failure in a weld in the fabric of the pipe or chamber. Used for BAM (pipe, char: longitudinal/circumferential/helical) and DAM (manhole/chamber, char: vertical/horizontal/inclined)."
WidensChannel,Widens Channel,Channel,,"Table 12, DCI char2 (B)",The channel widens in the direction of flow. Used for DCI char2 (B).
WorkingBenching,Working Benching,Benching,,"Table 12, DCH char (B)",Records that the benching was inspected and found not defective. Used for DCH char (B).
WorkingChannel,Working Channel,Channel,,"Table 12, DCI char1 (B)",Records that the channel was inspected and found not defective. Used for DCI char1 (B).
WorkingGritTrap,Working Grit Trap,GritTrapUnderCover,,,
WorkingOtherPipelineThroughManhole,Working Other Pipeline Through Manhole,OtherPipelineThroughManhole,,,
WorkingSiltPit,Working Silt Pit,SiltPit,,,
WrinkledLining,Wrinkled Lining,Lining,,,
WronglyConnectedIncomingSurfaceWaterPipe,Wrongly Connected Incoming Surface Water Pipe,FlowFromIncomingPipe,,"Table 7, BDE char2 (B); Table 13, DDE char2 (A)","Surface water is observed discharging into a wastewater drain or sewer, indicating a wrongly connected surface-water pipe. Used for BDE char2 (B) and DDE char2 (A); the two codes swap the A/B ordering of this and the wastewater case."
WronglyConnectedIncomingWastewaterPipe,Wrongly Connected Incoming Wastewater Pipe,FlowFromIncomingPipe,,"Table 7, BDE char2 (A); Table 13, DDE char2 (B)","Wastewater is observed discharging into a surface-water drain or sewer, indicating a wrongly connected foul pipe. Used for BDE char2 (A) and DDE char2 (B); the two codes swap the A/B ordering of this and the surface-water case."
